[2026-04-12 19:45:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:45:09] LOADED | Host: C:\WINDOWS\System32\SearchProtocolHost.exe
[2026-04-12 19:45:09] LOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:45:09] LOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:45:39] LOADED | Host: \\?\C:\WINDOWS\system32\wbem\WMIADAP.EXE
[2026-04-12 19:45:39] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:46:02] UNLOADED | Host: \\?\C:\WINDOWS\system32\wbem\WMIADAP.EXE
[2026-04-12 19:46:24] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:46:25] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:46:25] UNLOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:46:25] UNLOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:46:35] UNLOADED | Host: C:\WINDOWS\System32\SearchProtocolHost.exe
[2026-04-12 19:46:37] LOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:46:37] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 19:46:38] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:46:38] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:46:39] UNLOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:46:39] LOADED | Host: C:\WINDOWS\regedit.exe
[2026-04-12 19:46:47] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:46:47] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:47:49] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:47:49] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:48:20] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:49:00] LOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:49:06] UNLOADED | Host: C:\WINDOWS\regedit.exe
[2026-04-12 19:49:09] UNLOADED | Host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
[2026-04-12 19:49:09] UNLOADED | Host: C:\WINDOWS\system32\conhost.exe
[2026-04-12 19:49:21] LOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:49:21] UNLOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:49:22] LOADED | Host: C:\WINDOWS\system32\mmc.exe
[2026-04-12 19:50:30] UNLOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
